latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
44.79116,-106.39836,300.72,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,289.25,2.88,N
44.79138,-106.40247,353.57,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,298.33,7.74,N
44.7916,-106.40657,367,0.32,0.55,2026-08-01,824,N20,VIIRS,h,2.0NRT,289.79,7.74,N
44.79195,-106.39189,320.03,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.37,2.3,N
44.79242,-106.40011,337,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,292.89,9.37,N
44.79266,-106.40421,367,0.32,0.55,2026-08-01,824,N20,VIIRS,h,2.0NRT,301.39,9.37,N
44.7929,-106.40829,329.02,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,287.27,9.51,N
44.79427,-106.36129,316.58,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,290.08,2.31,N
44.79448,-106.36516,317.24,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,289.58,2.31,N
44.79533,-106.36308,315.89,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,289.41,1.47,N
44.7964,-106.40153,319,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,289.52,7.74,N
44.79662,-106.40562,367,0.32,0.55,2026-08-01,824,N20,VIIRS,h,2.0NRT,294.69,7.74,N
44.79684,-106.40977,311.36,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.63,3.6,N
44.79705,-106.4139,306.68,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,287.93,3.6,N
44.79768,-106.40324,320.84,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,289.81,2.45,N
44.79792,-106.40736,316,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.59,1.48,N
44.79816,-106.41151,298.14,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,287.74,1.48,N
44.7984,-106.41559,311.54,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,287.4,2.91,N
44.8023,-106.41698,306.92,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.82,3.23,N
44.80252,-106.42113,352.46,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,292.13,3.23,N
44.80273,-106.42528,340.4,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,289.68,5.27,N
44.80367,-106.41873,336.87,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,291.72,2.91,N
44.80391,-106.42292,341.27,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,291.27,3.37,N
44.80415,-106.42706,306.11,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,287.15,3.37,N
44.82353,-106.43409,320.26,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,289.75,2.43,N
